COMMODITY,PRECO,QUANTIDADE
00514102002,16.68,2.0
00514102004,40.41,2.0
00514103001,0.3438,50.0
00514103001,0.3566,200.0
00514103001,0.6552,50.0
00514103001,0.9784,100.0
00514103002,0.43,100.0
0051411,241.2,1.0
00514121001,0.5381,200.0
00514121001,1.179,150.0
00514121001,19.85,2.0
00514121002,0.421,100.0
00514121002,0.4294,300.0
00514121002,0.5381,200.0
00514121002,1.2492,150.0
00514121002,1.5094,100.0
00514121002,21.47,3.0
00514121003,0.8226,100.0
00514121003,2.2448,50.0
0052165,1.0,383.0
0052165,7.5,30.0
0052806,2.0,34.0
0052875,1.0,348.5
00542102001,11.03,15.0
00542102001,12.13,10.0
0054215,2.16,4.0
0054215,2.67,4.0
0054215,5.95,10.0
0054235,1.0,160.37
0054235,28.58,1.0
0056310,117.69,5.0
00584,1602.57,1.0
0058415,1.95,80.0
0058415,13.75,24.0
0058415,29.55,2.0
0058415,73.5,1.0
01005,43.68,6.0
01005,80.64,84.0
01005,94.987,20.0
01005,168.96,1.0
01005,189.11,1.0
01005,194.15,1.0
01005,248.26,1.0
01005,340.8,1.0
01005,397.2,1.0
01005,419.39,1.0
01005,1191.0,1.0
01005,1286.13,1.0
01005,4983.97,1.0
01005,6135.0,1.0
01005,7358.96,1.0
01005,12327.92,1.0
0100552,506.4,2.0
0100581,43.776,10.0
0100581,83.53,2.0
0100581,94.8,20.0
0100581,97.488,20.0
0100581,164.93,1.0
0100581,166.66,1.0
0100581,172.8,1.0
0100581,198.4,1.0
0100581,227.04,12.0
0100581,330.24,1.0
0100581,2354.48,1.0
0100581,4045.86,1.0
0100581,5366.0,1.0
01008,61.2,3.0
01008,96.0,2.0
01008,120.0,2.0
0100842,579.95,1.0
0101710,191.81,1.0
01038,1.7,200.0
01038,9.0,24.0
01041,660.0,8.0
01041,932.0,16.0
0105318,5.19,72.0
0105900,0.28,300.0
0105914,25.33,1.0
0105916,1.0,202.19
01072605218,2.33,100.0
01072605218,3.39,630.0
01072605218,4.43,450.0
01072605218,5.03,558.0
01072605218,5.11,580.0
01072605218,5.46,3730.0
01072605218,5.62,1215.0
01072605218,5.68,324.0
